Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-57573-80-6,10.0.0.15,80,168.63.129.16,57573,6,19/04/2025 01:40:44 PM,149,0,2,0,0,0,0,0,0,0,0,0,0,0,13422.81879,149,0,149,149,0,0,0,0,0,149,149,0,149,149,0,0,0,0,0,40,0,13422.81879,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-50349-80-6,168.63.129.16,50349,10.0.0.15,80,6,19/04/2025 01:48:45 PM,15003554,2,2,0,0,0,0,0,0,0,0,0,0,0,0.266603499,5001184.667,8662173.439,1.50E+07,38,1.50E+07,1.50E+07,0,1.50E+07,1.50E+07,38,38,0,38,38,0,0,0,0,40,64,0.13330175,0.13330175,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.15-10.0.0.37-443-34786-6,10.0.0.37,34786,10.0.0.15,443,6,19/04/2025 01:36:33 PM,100850,5,5,524,1948,517,0,104.8,230.4467401,1948,0,389.6,871.172084,24511.65097,99.15716411,11205.55556,25918.94479,77682,0,100463,25115.75,36835.69749,78258,0,100330,25082.5,36533.21992,77682,22,0,0,0,0,160,176,49.57858205,49.57858205,0,1948,224.7272727,592.1584401,350651.6182,0,1,0,0,0,0,0,0,1,247.2,104.8,389.6,0,0,0,0,0,0,5,524,5,1948,-1,506,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-46308-6,10.0.0.15,46308,168.63.129.16,32526,6,19/04/2025 01:54:25 PM,145,0,2,0,0,0,0,0,0,0,0,0,0,0,13793.10345,145,0,145,145,0,0,0,0,0,145,145,0,145,145,0,0,0,0,0,64,0,13793.10345,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16386,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.15-52.168.112.66-59272-443-6,52.168.112.66,443,10.0.0.15,59272,6,19/04/2025 01:24:46 PM,48,0,2,0,0,0,0,0,0,0,0,0,0,0,41666.66667,48,0,48,48,0,0,0,0,0,48,48,0,48,48,0,0,0,0,0,64,0,41666.66667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.15-10.0.0.37-443-36540-6,10.0.0.37,36540,10.0.0.15,443,6,19/04/2025 01:36:34 PM,131571,5,5,524,1948,517,0,104.8,230.4467401,1948,0,389.6,871.172084,18788.33482,76.00459068,14619,37560.2296,114348,15,131133,32783.25,54950.08282,114994,101,121945,30486.25,55989.73425,114348,56,0,0,0,0,160,176,38.00229534,38.00229534,0,1948,224.7272727,592.1584401,350651.6182,0,1,0,0,0,0,0,0,1,247.2,104.8,389.6,0,0,0,0,0,0,5,524,5,1948,-1,506,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-53-55256-17,10.0.0.15,55256,168.63.129.16,53,17,19/04/2025 01:40:32 PM,37134,0,2,0,192,0,0,0,0,139,53,96,60.81118318,5170.463726,53.85899715,37134,0,37134,37134,0,0,0,0,0,37134,37134,0,37134,37134,0,0,0,0,0,16,0,53.85899715,53,139,81.66666667,49.65212315,2465.333333,0,0,0,0,0,0,0,0,0,122.5,0,96,0,0,0,0,0,0,0,0,2,192,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-55818-6,10.0.0.15,55818,168.63.129.16,32526,6,19/04/2025 01:52:30 PM,84,0,2,0,0,0,0,0,0,0,0,0,0,0,23809.52381,84,0,84,84,0,0,0,0,0,84,84,0,84,84,0,0,0,0,0,64,0,23809.52381,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-40204-6,10.0.0.15,40204,168.63.129.16,32526,6,19/04/2025 01:30:19 PM,99,0,2,0,0,0,0,0,0,0,0,0,0,0,20202.0202,99,0,99,99,0,0,0,0,0,99,99,0,99,99,0,0,0,0,0,64,0,20202.0202,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16388,0,0,0,0,0,0,0,0,0,0,No Label
10.0.0.15-10.0.0.37-80-55858-6,10.0.0.15,80,10.0.0.37,55858,6,19/04/2025 01:36:36 PM,400,0,2,0,0,0,0,0,0,0,0,0,0,0,5000,400,0,400,400,0,0,0,0,0,400,400,0,400,400,0,0,0,0,0,64,0,5000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
