Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-80-54390-6,10.0.0.15,54390,168.63.129.16,80,6,22/04/2025 08:32:32 PM,175,0,2,0,0,0,0,0,0,0,0,0,0,0,11428.57143,175,0,175,175,0,0,0,0,0,175,175,0,175,175,0,0,0,0,0,64,0,11428.57143,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,49152,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-60636-6,10.0.0.15,60636,168.63.129.16,32526,6,22/04/2025 08:32:06 PM,122,0,2,0,0,0,0,0,0,0,0,0,0,0,16393.44262,122,0,122,122,0,0,0,0,0,122,122,0,122,122,0,0,0,0,0,64,0,16393.44262,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,49152,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49192-6,10.0.0.15,49192,168.63.129.16,32526,6,22/04/2025 08:32:12 PM,130,0,2,0,0,0,0,0,0,0,0,0,0,0,15384.61538,130,0,130,130,0,0,0,0,0,130,130,0,130,130,0,0,0,0,0,64,0,15384.61538,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,49154,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-47510-6,10.0.0.15,47510,168.63.129.16,80,6,22/04/2025 08:32:24 PM,228,1,1,0,0,0,0,0,0,0,0,0,0,0,8771.929825,228,0,228,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4385.964912,4385.964912,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-48732-6,10.0.0.15,48732,168.63.129.16,32526,6,22/04/2025 08:33:00 PM,163,0,2,0,0,0,0,0,0,0,0,0,0,0,12269.93865,163,0,163,163,0,0,0,0,0,163,163,0,163,163,0,0,0,0,0,64,0,12269.93865,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,49150,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-33094-6,10.0.0.15,33094,168.63.129.16,80,6,22/04/2025 08:32:00 PM,131,0,2,0,0,0,0,0,0,0,0,0,0,0,15267.17557,131,0,131,131,0,0,0,0,0,131,131,0,131,131,0,0,0,0,0,64,0,15267.17557,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,49152,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-46748-6,10.0.0.15,46748,168.63.129.16,80,6,22/04/2025 08:31:32 PM,108,0,2,0,0,0,0,0,0,0,0,0,0,0,18518.51852,108,0,108,108,0,0,0,0,0,108,108,0,108,108,0,0,0,0,0,64,0,18518.51852,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,49152,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-43068-6,10.0.0.15,43068,168.63.129.16,32526,6,22/04/2025 08:32:00 PM,228,0,2,0,0,0,0,0,0,0,0,0,0,0,8771.929825,228,0,228,228,0,0,0,0,0,228,228,0,228,228,0,0,0,0,0,64,0,8771.929825,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,49150,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-50266-80-6,168.63.129.16,50266,10.0.0.15,80,6,22/04/2025 08:33:34 PM,267,1,2,0,0,0,0,0,0,0,0,0,0,0,11235.95506,133.5,133.6431816,228,39,0,0,0,0,0,39,39,0,39,39,0,0,0,0,20,64,3745.318352,7490.636704,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-57744-6,10.0.0.15,57744,168.63.129.16,32526,6,22/04/2025 08:32:24 PM,4207,2,3,447,145,447,0,223.5,316.0767312,145,0,48.33333333,83.71578903,140717.8512,1188.495365,1051.75,1805.465291,3744,13,19,19,0,19,19,4207,2103.5,2365.272183,3776,431,0,0,0,0,64,112,475.3981459,713.0972189,0,447,98.66666667,180.2350317,32484.66667,0,1,0,0,0,0,0,0,1,118.4,223.5,48.33333333,0,0,0,0,0,0,2,447,3,145,-1,49152,1,0,0,0,0,0,0,0,0,0,No Label
