Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-32526-60112-6,10.0.0.15,60112,168.63.129.16,32526,6,21/04/2025 10:39:17 PM,984,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,1152439.024,7113.821138,164,186.846461,451,16,46,23,9.899494937,30,16,984,328,127.188836,451,197,0,0,0,0,96,144,3048.780488,4065.04065,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,16384,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-33840-6,10.0.0.15,33840,168.63.129.16,80,6,21/04/2025 10:39:17 PM,3921,3,4,376,150,189,0,125.3333333,108.546457,150,0,37.5,75,134149.4517,1785.258863,653.5,1411.67259,3531,17,80,40,19.79898987,54,26,3921,1307,1926.244014,3531,167,0,0,0,0,96,144,765.1109411,1020.147921,0,189,65.75,91.49980484,8372.214286,0,1,0,0,0,0,0,0,1,75.14285714,125.3333333,37.5,0,0,0,0,0,0,3,376,4,150,-1,16387,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-60128-6,10.0.0.15,60128,168.63.129.16,32526,6,21/04/2025 10:39:17 PM,13679,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,234227.6482,511.7333138,2279.833333,5291.236506,13076,17,52,26,12.72792206,35,17,13679,4559.666667,7376.281064,13076,185,0,0,0,0,96,144,219.3142774,292.4190365,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,16388,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-58599-80-6,168.63.129.16,58599,10.0.0.15,80,6,21/04/2025 10:39:05 PM,15001048,2,2,0,0,0,0,0,0,0,0,0,0,0,0.266648037,5000349.333,8660643.461,1.50E+07,55,1.50E+07,1.50E+07,0,1.50E+07,1.50E+07,55,55,0,55,55,0,0,0,0,40,64,0.133324018,0.133324018,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-33850-6,10.0.0.15,33850,168.63.129.16,80,6,21/04/2025 10:39:23 PM,3109,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,816661.3059,1608.234159,777.25,1138.017684,2437,27,45,45,0,45,45,3109,1554.5,1349.866845,2509,600,0,0,0,0,64,112,643.2936636,964.9404953,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-33850-6,10.0.0.15,33850,168.63.129.16,80,6,21/04/2025 10:39:23 PM,340,1,1,0,0,0,0,0,0,0,0,0,0,0,5882.352941,340,0,340,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2941.176471,2941.176471,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-60132-6,10.0.0.15,60132,168.63.129.16,32526,6,21/04/2025 10:39:23 PM,5762,2,3,448,145,448,0,224,316.783838,145,0,48.33333333,83.71578903,102915.6543,867.754252,1440.5,2690.41936,5473,16,27,27,0,27,27,5762,2881,3726.452737,5516,246,0,0,0,0,64,112,347.1017008,520.6525512,0,448,98.83333333,180.6216118,32624.16667,0,1,0,0,0,0,0,0,1,118.6,224,48.33333333,0,0,0,0,0,0,2,448,3,145,-1,16386,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-60138-6,10.0.0.15,60138,168.63.129.16,32526,6,21/04/2025 10:39:23 PM,1164,3,4,980,154,585,0,326.6666667,298.4264287,154,0,38.5,77,974226.8041,6013.745704,194,206.006796,566,16,253,126.5,156.2705986,237,16,1164,388,170.1381791,566,227,0,0,0,0,96,144,2577.319588,3436.426117,0,585,141.75,227.1630943,51603.07143,0,1,0,0,0,0,0,0,1,162,326.6666667,38.5,0,0,0,0,0,0,3,980,4,154,-1,16384,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-60146-6,10.0.0.15,60146,168.63.129.16,32526,6,21/04/2025 10:39:23 PM,987,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,3246200.608,7092.198582,164.5,254.4364361,662,17,42,21,2.828427125,23,19,987,329,291.9537635,662,117,0,0,0,0,96,144,3039.513678,4052.684904,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,16388,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-60716-6,10.0.0.15,60716,168.63.129.16,80,6,21/04/2025 10:39:29 PM,3148,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,806543.8374,1588.310038,787,1181.618946,2523,26,54,54,0,54,54,3148,1574,1455.225756,2603,545,0,0,0,0,64,112,635.3240152,952.9860229,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
