Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
168.63.129.16-10.0.0.15-32526-49084-6,10.0.0.15,49084,168.63.129.16,32526,6,23/04/2025 10:48:30 AM,1065,3,4,3050,154,2654,0,1016.666667,1431.72949,154,0,38.5,77,3008450.704,6572.769953,177.5,224.6559592,591,14,34,17,4.242640687,20,14,1065,355,204.5018337,591,230,0,0,0,0,96,144,2816.901408,3755.868545,0,2654,400.5,921.2604719,848720.8571,0,1,0,0,0,0,0,0,1,457.7142857,1016.666667,38.5,0,0,0,0,0,0,3,3050,4,154,-1,16388,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-45380-6,10.0.0.15,45380,168.63.129.16,80,6,23/04/2025 10:48:31 AM,2164,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,1173290.203,2310.536044,541,705.0224583,1528,29,29,29,0,29,29,2164,1082,724.0773439,1594,570,0,0,0,0,64,112,924.2144177,1386.321627,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-45380-6,10.0.0.15,45380,168.63.129.16,80,6,23/04/2025 10:48:31 AM,281,1,1,0,0,0,0,0,0,0,0,0,0,0,7117.437722,281,0,281,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3558.718861,3558.718861,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-32526-49090-6,10.0.0.15,49090,168.63.129.16,32526,6,23/04/2025 10:48:31 AM,1214,2,3,132,201,132,0,66,93.33809512,201,0,67,116.0474041,274299.8353,4118.616145,303.5,376.7496959,823,21,30,30,0,30,30,1214,607,377.5950212,874,340,0,0,0,0,64,112,1647.446458,2471.169687,0,201,55.5,88.70569317,7868.7,0,1,0,0,0,0,0,0,1,66.6,66,67,0,0,0,0,0,0,2,132,3,201,-1,16388,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-45392-6,10.0.0.15,45392,168.63.129.16,80,6,23/04/2025 10:48:31 AM,4121,3,4,379,150,192,0,126.3333333,109.4364351,150,0,37.5,75,128366.9012,1698.616841,686.8333333,1311.469011,3339,12,43,21.5,13.43502884,31,12,4121,1373.666667,1703.724547,3339,315,0,0,0,0,96,144,727.978646,970.6381946,0,192,66.125,92.08138869,8478.982143,0,1,0,0,0,0,0,0,1,75.57142857,126.3333333,37.5,0,0,0,0,0,0,3,379,4,150,-1,16387,2,0,0,0,0,0,0,0,0,0,No Label
169.254.169.254-10.0.0.15-80-48206-6,10.0.0.15,48206,169.254.169.254,80,6,23/04/2025 10:48:31 AM,11216,2,4,185,1361,185,0,92.5,130.8147545,1361,0,340.25,680.5,137838.8017,534.9500713,2243.2,4337.258892,9984,21,28,28,0,28,28,11216,3738.666667,5452.234068,10033,478,0,0,0,0,64,144,178.3166904,356.6333809,0,1361,220.8571429,507.4611409,257516.8095,0,1,0,0,0,0,0,0,2,257.6666667,92.5,340.25,0,0,0,0,0,0,2,185,4,1361,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
169.254.169.254-10.0.0.15-80-48206-6,10.0.0.15,48206,169.254.169.254,80,6,23/04/2025 10:48:31 AM,368,1,1,0,0,0,0,0,0,0,0,0,0,0,5434.782609,368,0,368,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2717.391304,2717.391304,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-45398-6,10.0.0.15,45398,168.63.129.16,80,6,23/04/2025 10:48:31 AM,4104,3,4,379,150,192,0,126.3333333,109.4364351,150,0,37.5,75,128898.6355,1705.653021,684,1332.548986,3386,13,39,19.5,9.192388155,26,13,4104,1368,1747.639551,3386,358,0,0,0,0,96,144,730.994152,974.6588694,0,192,66.125,92.08138869,8478.982143,0,1,0,0,0,0,0,0,1,75.57142857,126.3333333,37.5,0,0,0,0,0,0,3,379,4,150,-1,16387,2,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-45402-6,10.0.0.15,45402,168.63.129.16,80,6,23/04/2025 10:48:36 AM,3125,2,3,200,2339,200,0,100,141.4213562,2339,0,779.6666667,1350.42228,812480,1600,781.25,1171.460164,2497,29,29,29,0,29,29,3125,1562.5,1407.849601,2558,567,0,0,0,0,64,112,640,960,0,2339,423.1666667,941.9661176,887300.1667,0,1,0,0,0,0,0,0,1,507.8,100,779.6666667,0,0,0,0,0,0,2,200,3,2339,-1,16387,1,0,0,0,0,0,0,0,0,0,No Label
168.63.129.16-10.0.0.15-80-45402-6,10.0.0.15,45402,168.63.129.16,80,6,23/04/2025 10:48:36 AM,267,1,1,0,0,0,0,0,0,0,0,0,0,0,7490.636704,267,0,267,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3745.318352,3745.318352,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
